titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
La Garriga : mapa guia d'itineraris i rutes,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Ruta modernista; itinerarios de senderismo y BTT; hoteles y establecimientos turísticos; información comercial con su localización en el plano; web del ayuntamiento de La Garriga,col.
La Graciosa,Organismo Autónomo Parques Nacionales (España),,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas,Incluye mapa ampliado de Caleta de Sebo a escala [ca. 1:100] y rutas a pie y en bicicleta por la isla,col.
La Línea,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a La Línea de la Concepción,col.
La Llagosta,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Relación de equipamientos y servicios municipales,col.
La Palma : Caldera de Taburiente : Ruta de los Volcanes - GR 130 - GR 131,Editorial Alpina,,2 mapas,Editorial Alpina,Excursionismo -- Mapas,Inserta: Rutas senderistas y BTT,col.
La Palma : la isla bonita,La Palma,,1 mapa,Turismo Excmo. Calbildo Insular de La Palma,,Inserta: Rutas en coche; mapa de localización de La Palma en Canarias,col.
La Palma : mapa = map = karte,Fundación Turismo Palma de Mallorca 365,,1 mapa,Visitpalma.es,Senderismo -- Mapas,Inserta: Senderos astronómicos y rutas; fotografías,col.
La Palma : mapa = map = karte,Patronato de Turismo (La Palma),,1 mapa,Visitlapalma.es,Senderismo -- Mapas,Inserta: Senderos astronómicos y rutas; fotografías,col.
"La Rioja, reserva de la Biosfera",La Rioja (Comunidad Autónoma),,1 mapa,Gobierno de La Rioja,,Inserta: Mapa de comunicaciones y situación de la reserva en La Rioja,col.
La Roca del Vallès,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; equipamientos y servicios,col.
La Roca del Vallès,SR Mapes,,1 plano,SR Mapes,Comercios -- Mapas,"Incluye información comercial que continúa al verso, con su localización en el plano",col.
La Roda,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
La Seu d'Urgell,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,,Incluye pequeños mapas de espacios naturales protegidos y de hipsometría,col.
La Vall d'Uixó,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Laguna de Duero,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Laguna de Gallocanta birding map,"Vidal, Demetrio",,1 mapa,Gobierno de Aragón,Aves -- Mapas,Inserta: Fotografías de especies de flora y fauna emblemáticas con su localización en el mapa,col.
"Lalín, un interior único",Lalín,,1 plano,Concello de Lalín,,Incluye teléfonos de interés y relación de lugares de interés con su localización en el plano,col.
Lalín : un interior único,Lalín,,1 plano,Concello de Lalin,,"Incluye teléfonos de interés y relación de lugares de interés, equipamientos y servicios con su localización en el plano",col.
Lanaja,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Landete,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Leaburu-Txarama : toponimoen mapa = mapa toponímico,Geograma,,1 mapa,Leaburu-Txaramako Udala,Nombres geográficos -- Mapas,Inserta: Nomenclátor,col.
Lesaka,Lesaka,,1 mapa,Lesakako Udala,,"Al verso: Planos de Lesaka y ampliación del centro urbano, con localización de lugares de interés",col.
L'Escala - Empúries,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Ampliación de Sant Martí d'Empúries; relación de equipamientos, servicios y lugares de interés con su localización en el plano; fotografías",col.
Librilla,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Linares de Mora,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Lisboa e arredores,Editorial Fisa Escudo de Oro,,1 plano,Editorial Fisa Escudo de Oro,,Inserta: Plano ampliación del centro histórico de Lisboa con una relación de monumentos y su localización en el mismo,col.
Lisboa e arredores,Editorial Fisa Escudo de Oro,,1 plano,Fisa Escudo de Oro,,Inserta: Ampliación del centro histórico con relación de monumentos y su localización en el plano,col.
Llagares de Siero,Siero,,1 mapa,Ayuntamiento de Siero,Sidra -- Mapas,Inserta: Relación de lagares con su localización en el mapa; mapas de localización en Asturias y en el concejo de Siero,col.
Llagostera,SR Mapes,,1 plano,SR Mapes,,"Incluye callejero, información de la oficina de turismo, restaurantes y alojamientos e información comercial que continúa al verso con su localización en el plano",col.
Llanes villa,Cromo Publicidad,,1 plano,Cromo Publicidad,,Inserta: Teléfonos de interés,col.
Llano del Beal,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Llardana-Posets y Perdiguero,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Excursionismo -- Mapas,,col.
Lliçà de Vall,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Índice de calles; teléfonos de interés,col.
Llimiana,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Hidrogeología -- Mapas,"Incluye mapas de acuíferos, tabla de litología y permeabilidad",col.
Llinars del Vallès,SR Mapes,,1 plano,SR Mapes,,Inserta: Información comercial con su localización en el plano,col.
Llinars del Vallès,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Relación de servicios localizados en el plano; información comercial que continúa al verso con su localización en el plano,col.
Llorenç del Penedès,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Callejero; relación de equipamientos y servicios con su localización en el plano,col.
Lloret de Mar,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Teléfonos de interés; equipamientos y servicios,col.
Llucmajor,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Los Alcázares : callejero = street map,Los Alcázares,,1 plano,"Ayuntamiento de Los Alcázares, Concejalía de Turismo",,Inserta: Plano del polígono industrial de Los Alcázares,col.
Los Alcázares : callejero = street map,Los Alcázares,,1 plano,Ayuntamiento de Los Alcázares,,Inserta: Polígono industrial de Los Alcázares,col.
Los Alcázares : callejero = street map,Los Alcázares,,1 plano,[Ayuntamiento de Los Alcázares],,Al verso: Los Narejos. - 25 x 15 cm; teléfonos de interés; índice de calles,col.
Los Tojos,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Los Villares,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
"Lugares colombinos : Palos de la Frontera, La Rábida, Moguer y Huelva",Mapa Cultural Ediciones,,1 mapa,Mapa Cultural Ediciones,,"Inserta: Sitios de interés para visitas, con su localización en el mapa; ampliaciones de Palos de la Frontera, Paraje de La Rábida, Moguer y Huelva",col.
Lugo,Turismo de Galicia,,1 plano,Turismo de Galicia,,"Al verso: Información y localización en el plano de monumentos, edificios y lugares de interés turístico",col.
Lugo,Turismo de Galicia,,1 plano,Turismo de Galicia,,"Al verso: Información y localización en el plano de monumentos, edificios y lugares de interés turístico",col.
"Lugo, cidade amurallada Patrimonio da Humanidade",Lugo,,1 plano,"Concello de Lugo, Concellería de Cultura, Turismo, Xuventude e Promoción da Lingua",,Al verso: Ampliación del centro histórico amurallado de la ciudad; mapa del municipio y accesos por carretera; relación de lugares y visitas de interés con su localización en el plano y en el mapa,col.
"Lugo, ciudad amurallada Patrimonio de la Humanidad",Lugo,,1 plano,"Concello de Lugo, Concellería de Cultura, Turismo, Xuventude e Promoción da Lingua",,Al verso: Ampliación del centro histórico amurallado de la ciudad; mapa del municipio y accesos por carretera; relación de lugares y visitas de interés con su localización en el plano y en el mapa,col.
"Lugo, the walled city, a World Heritage site",Lugo,,1 plano,"Concello de Lugo, Concellería de Cultura, Turismo, Xuventude e Promoción da Lingua",,Al verso: Ampliación del centro histórico amurallado de la ciudad; mapa del municipio y accesos por carretera; relación de lugares y visitas de interés con su localización en el plano y en el mapa,col.
Macael,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Maçanet de la Selva,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; relación de equipamientos y servicios con su localización en el plano; teléfonos de interés; datos demográficos; información comercial con su localización en el plano; fotografías,col.
Macizo occidental de los Picos de Europa,"Adrados, Miguel Ángel",,1 mapa,Adrados Ediciones,Excursionismo -- Mapas,"Al verso: Mapa de ""Los Picos de Europa. Interpretación aérea del macizo occidental (El Cornión)""; relación de las cumbres que figuran en el mapa y de los refugios de montaña; información sobre las grandes cavidades del Macizo Occidental de los Picos de Europa y de los grupos y colectivos espeleológicos con exploraciones en El Cornión; información de direcciones útiles; fotografías",col.
Macizos central y oriental de los Picos de Europa,"Adrados, Miguel Ángel",,1 mapa,Adrados,Excursionismo -- Mapas,"Al verso: Mapa de ""Los Picos de Europa. Interpretación aérea de los macizos central y oriental (Los Urrieles y Ándara)""; relación de las cumbres que figuran en el mapa y de los refugios de montaña; información sobre las grandes cavidades, cabañas y abrigos de los Macizos Central y Oriental; relación de direcciones útiles",col.
Madrid,"Nin i Català, Josep",,1 plano,,,Al verso: Callejero; información turística sobre lugares recomendados; plano de red de metro y metro ligero; fotografías,col.
Madrid : el mapa de Madrid : illustrated map-guide,,,1 plano,[El Mapa de Madrid?],,"Al verso: Guía de empresas de restauración y de tiempo libre, con su localización en el plano; selección de 10 visitas recomendadas; frases coloquiales en inglés con su traducción al español; sugerencias gastronómicas típicas de Madrid; teléfonos e información de carácter útil",col.
Madroñera,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Magallón,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Maladeta - Aneto,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Excursionismo -- Mapas,,col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Plano de Málaga Este - Zona de Playas; mapa de accesos a la ciudad,col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Plano de Málaga Este - Zona de Playas; mapa de accesos a la ciudad,col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,"Inserta: Mapa de accesos a la ciudad; Málaga Este, zona de playas",col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Pequeños mapas de localización de Córdoba en Andalucía y España; relación de fiestas de interés turístico,col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,"Inserta: Mapa de accesos a la ciudad; Málaga Este, zona de playas",col.
Málaga,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,"Inserta: Mapa de accesos a la ciudad; Málaga Este, zona de playas",col.
Malgrat de Mar,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Relación de alojamientos, servicios y lugares de interés con su localización en el plano",col.
Mallorca,Cartograma 2012,,1 mapa,Cartograma 2012,Carreteras -- Mapas,Inserta: Índice toponímico; pequeño mapa de La Cabrera,col.
Mallorca,,,1 mapa,Cartograma 2012,Carreteras -- Mapas,Inserta: Pequeño mapa de La Cabrera,col.
Manacor,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Mancha Real,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Manlleu,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Callejero; equipamientos, servicios y comercios con su localización en el plano",col.
Manlleu,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,Geología -- Mapas,Incluye esquema estructural y esquema de relaciones estratigráficas,col.
Manlleu,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
Manlleu,SR Mapes,,1 plano,SR Mapes,,Inserta: Información sobre las distintas etapas de desarrollo urbano diferenciadas en el plano,col.
Manresa,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; monumentos y lugares de interés con su localización en el plano; teléfonos de interés; mapa de accesos por carretera; mapas de itinerarios por carretera de Manresa a Cervera y Gerona; información comercial que continúa al verso con su localización en el plano,col.
Maó : mapa = map = karte = carte = mappa,Menorca,,1 plano,Consejo Insular,,"Al verso: Plano ampliación del centro histórico de Maó; localización de servicios, equipamientos, visitas recomendadas y lugares de interés",col.
Map of Haro,La Rioja Turismo,,1 plano,La Rioja Tourism Office,,Inserta: Relación de lugares de interés con su localización en el plano,col.
Map of Teide National Park,Empresa de Transformación Agraria,,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas,Inserta: Red de senderos localizados en el mapa,col.
Map of the National Park Las Tablas de Daimiel,Empresa de Transformación Agraria,,1 mapa,Organismo Autónomo Parques Nacionales,Aves -- Mapas,Inserta: Ampliación del área de las rutas de la Laguna permanente y de la Isla de Pan,col.
Map of the Sierra de Guadarrama National Park,Organismo Autónomo Parques Nacionales (España),,1 mapa,National Parks Autonomous Agency,Senderismo -- Mapas,Inserta: Rutas recomendadas; localización del hábitat del buitre negro mediante ilustración,col.
